experiment,split_id,genus
within_cohort_zhuang2018,outer_fold_3,Intestinimonas
within_cohort_zhuang2018,outer_fold_3,Klebsiella
within_cohort_zhuang2018,outer_fold_3,Lachnoclostridium
within_cohort_zhuang2018,outer_fold_3,Lachnospira
within_cohort_zhuang2018,outer_fold_3,Lachnospiraceae FCS020 group
within_cohort_zhuang2018,outer_fold_3,Lachnospiraceae ND3007 group
within_cohort_zhuang2018,outer_fold_3,Lachnospiraceae NK4A136 group
within_cohort_zhuang2018,outer_fold_3,Lachnospiraceae UCG-001
within_cohort_zhuang2018,outer_fold_3,Lachnospiraceae UCG-004
within_cohort_zhuang2018,outer_fold_3,Lachnospiraceae UCG-010
within_cohort_zhuang2018,outer_fold_3,Lactobacillus
within_cohort_zhuang2018,outer_fold_3,Lactococcus
within_cohort_zhuang2018,outer_fold_3,Ligilactobacillus
within_cohort_zhuang2018,outer_fold_3,Limosilactobacillus
